,blk,date,pow_hashrate_THs,pow_diff
275,39744.0,2016-06-23 00:00:00+00:00,0.0,842649.41141487
276,39888.0,2016-06-24 00:00:00+00:00,30.0,788180.21673445
277,40032.0,2016-06-24 00:00:00+00:00,0.0,738546.49778872
278,40176.0,2016-06-25 00:00:00+00:00,27.0,726454.12122425
279,40320.0,2016-06-25 00:00:00+00:00,0.0,700711.96401019
280,40464.0,2016-06-25 00:00:00+00:00,24.0,694553.93292454
281,40608.0,2016-06-26 00:00:00+00:00,0.0,769214.25082589
282,40752.0,2016-06-26 00:00:00+00:00,0.0,766508.31036935
283,40896.0,2016-06-27 00:00:00+00:00,0.0,779807.36331675
284,41040.0,2016-06-28 00:00:00+00:00,0.0,716894.63559478
285,41184.0,2016-06-28 00:00:00+00:00,39.0,744896.53752582
286,41328.0,2016-06-28 00:00:00+00:00,0.0,772348.76649108
287,41472.0,2016-06-29 00:00:00+00:00,26.0,875981.23149436
288,41616.0,2016-06-30 00:00:00+00:00,0.0,835186.03243378
289,41760.0,2016-06-30 00:00:00+00:00,34.0,791054.70898116
290,41904.0,2016-07-01 00:00:00+00:00,0.0,699854.71378386
291,42048.0,2016-07-01 00:00:00+00:00,36.0,706490.45803543
292,42192.0,2016-07-01 00:00:00+00:00,0.0,727678.69116497
293,42336.0,2016-07-02 00:00:00+00:00,29.0,834258.28101775
294,42480.0,2016-07-02 00:00:00+00:00,0.0,826613.89737309
295,42624.0,2016-07-03 00:00:00+00:00,29.0,835144.16316188
296,42768.0,2016-07-03 00:00:00+00:00,0.0,831049.30428867
297,42912.0,2016-07-04 00:00:00+00:00,32.0,860325.95556488
298,43056.0,2016-07-04 00:00:00+00:00,0.0,829952.75441436
299,43200.0,2016-07-05 00:00:00+00:00,34.0,858665.06092294
300,43344.0,2016-07-05 00:00:00+00:00,0.0,808354.02363684
301,43488.0,2016-07-06 00:00:00+00:00,31.0,830365.18911571
302,43632.0,2016-07-06 00:00:00+00:00,0.0,878243.38563412
303,43776.0,2016-07-07 00:00:00+00:00,0.0,964637.55564349
304,43920.0,2016-07-08 00:00:00+00:00,25.0,934966.06687398
305,44064.0,2016-07-08 00:00:00+00:00,0.0,872695.99681875
306,44208.0,2016-07-08 00:00:00+00:00,28.0,809001.74130071
307,44352.0,2016-07-09 00:00:00+00:00,0.0,812412.60746137
308,44496.0,2016-07-09 00:00:00+00:00,28.0,807537.67833483
309,44640.0,2016-07-10 00:00:00+00:00,0.0,904865.51681683
310,44784.0,2016-07-10 00:00:00+00:00,20.0,921793.36855643
311,44928.0,2016-07-11 00:00:00+00:00,0.0,934177.24093984
312,45072.0,2016-07-11 00:00:00+00:00,19.0,822197.30027878
313,45216.0,2016-07-12 00:00:00+00:00,0.0,838138.85084108
314,45360.0,2016-07-13 00:00:00+00:00,35.0,687505.69051031
315,45504.0,2016-07-13 00:00:00+00:00,0.0,626692.40547844
316,45648.0,2016-07-14 00:00:00+00:00,30.0,672824.11246465
317,45792.0,2016-07-14 00:00:00+00:00,0.0,728443.79333168
318,45936.0,2016-07-15 00:00:00+00:00,24.0,796652.84724844
319,46080.0,2016-07-15 00:00:00+00:00,0.0,787256.37581125
320,46224.0,2016-07-15 00:00:00+00:00,0.0,744665.47503378
321,46368.0,2016-07-16 00:00:00+00:00,0.0,801365.90017973
322,46512.0,2016-07-16 00:00:00+00:00,0.0,807352.07879265
323,46656.0,2016-07-17 00:00:00+00:00,0.0,835364.9757139
324,46800.0,2016-07-18 00:00:00+00:00,26.0,827422.58393355
325,46944.0,2016-07-18 00:00:00+00:00,0.0,807344.96485334
326,47088.0,2016-07-19 00:00:00+00:00,0.0,789514.20454366
327,47232.0,2016-07-19 00:00:00+00:00,0.0,784324.8786306
328,47376.0,2016-07-19 00:00:00+00:00,0.0,782994.41437156
329,47520.0,2016-07-20 00:00:00+00:00,0.0,818794.18907346
330,47664.0,2016-07-21 00:00:00+00:00,0.0,788397.24117755
331,47808.0,2016-07-21 00:00:00+00:00,0.0,769614.84118351
332,47952.0,2016-07-22 00:00:00+00:00,0.0,743470.5805792
333,48096.0,2016-07-22 00:00:00+00:00,33.0,721815.16886418
334,48240.0,2016-07-22 00:00:00+00:00,0.0,734032.04157331
335,48384.0,2016-07-23 00:00:00+00:00,29.0,806577.39662446
336,48528.0,2016-07-23 00:00:00+00:00,0.0,834895.57154735
337,48672.0,2016-07-24 00:00:00+00:00,21.0,869423.62404665
338,48816.0,2016-07-25 00:00:00+00:00,0.0,826325.02011147
339,48960.0,2016-07-25 00:00:00+00:00,26.0,667093.50975344
340,49104.0,2016-07-26 00:00:00+00:00,0.0,607839.2281539
341,49248.0,2016-07-26 00:00:00+00:00,0.0,555948.75567518
342,49392.0,2016-07-27 00:00:00+00:00,30.0,595451.61144204
343,49536.0,2016-07-27 00:00:00+00:00,0.0,619611.7479163
344,49680.0,2016-07-28 00:00:00+00:00,25.0,669662.1528323
345,49824.0,2016-07-28 00:00:00+00:00,0.0,663052.88621428
346,49968.0,2016-07-29 00:00:00+00:00,0.0,651303.561341
347,50112.0,2016-07-29 00:00:00+00:00,31.0,675547.55278604
348,50256.0,2016-07-30 00:00:00+00:00,0.0,715973.11299014
349,50400.0,2016-07-30 00:00:00+00:00,25.0,790839.06336021
350,50544.0,2016-07-31 00:00:00+00:00,0.0,805652.45372331
351,50688.0,2016-07-31 00:00:00+00:00,26.0,781820.75177448
352,50832.0,2016-08-01 00:00:00+00:00,0.0,756483.35801749
353,50976.0,2016-08-01 00:00:00+00:00,32.0,719263.90113035
354,51120.0,2016-08-02 00:00:00+00:00,0.0,673378.75454663
355,51264.0,2016-08-02 00:00:00+00:00,27.0,714778.76246155
356,51408.0,2016-08-03 00:00:00+00:00,0.0,726236.75532147
357,51552.0,2016-08-03 00:00:00+00:00,0.0,713848.30023451
358,51696.0,2016-08-04 00:00:00+00:00,27.0,670581.11237089
359,51840.0,2016-08-04 00:00:00+00:00,0.0,652036.26664642
360,51984.0,2016-08-05 00:00:00+00:00,28.0,642292.82998058
361,52128.0,2016-08-05 00:00:00+00:00,0.0,647740.90864424
362,52272.0,2016-08-06 00:00:00+00:00,0.0,661181.65987141
363,52416.0,2016-08-06 00:00:00+00:00,0.0,708656.5758482
364,52560.0,2016-08-07 00:00:00+00:00,0.0,737313.78502257
365,52704.0,2016-08-07 00:00:00+00:00,33.0,710490.13422801
366,52848.0,2016-08-08 00:00:00+00:00,0.0,667206.85728017
367,52992.0,2016-08-08 00:00:00+00:00,28.0,687551.26208614
368,53136.0,2016-08-09 00:00:00+00:00,0.0,707206.17234685
369,53280.0,2016-08-09 00:00:00+00:00,0.0,718090.91456278
370,53424.0,2016-08-10 00:00:00+00:00,0.0,719530.31730814
371,53568.0,2016-08-10 00:00:00+00:00,0.0,788700.93680464
372,53712.0,2016-08-11 00:00:00+00:00,0.0,762325.78091785
373,53856.0,2016-08-11 00:00:00+00:00,0.0,716533.96045392
374,54000.0,2016-08-12 00:00:00+00:00,30.0,676671.34639458
375,54144.0,2016-08-12 00:00:00+00:00,0.0,704238.74321458
376,54288.0,2016-08-13 00:00:00+00:00,25.0,767776.32260304
377,54432.0,2016-08-13 00:00:00+00:00,0.0,822995.51602697
378,54576.0,2016-08-13 00:00:00+00:00,23.0,840302.65601081
379,54720.0,2016-08-14 00:00:00+00:00,0.0,938822.83323457
380,54864.0,2016-08-15 00:00:00+00:00,30.0,925206.33212665
381,55008.0,2016-08-15 00:00:00+00:00,0.0,821215.96591732
382,55152.0,2016-08-15 00:00:00+00:00,22.0,814219.88598647
383,55296.0,2016-08-16 00:00:00+00:00,27.0,966510.70907672
384,55440.0,2016-08-17 00:00:00+00:00,0.0,935761.80096053
385,55584.0,2016-08-17 00:00:00+00:00,34.0,889118.69734403
386,55728.0,2016-08-17 00:00:00+00:00,0.0,912477.17805463
387,55872.0,2016-08-18 00:00:00+00:00,35.0,996838.43486113
388,56016.0,2016-08-18 00:00:00+00:00,19.0,961719.82950495
389,56160.0,2016-08-19 00:00:00+00:00,0.0,1034370.86114247
390,56304.0,2016-08-20 00:00:00+00:00,33.0,893949.12764141
391,56448.0,2016-08-20 00:00:00+00:00,0.0,875368.89910799
392,56592.0,2016-08-20 00:00:00+00:00,19.0,937687.49621341
393,56736.0,2016-08-21 00:00:00+00:00,0.0,1081543.39331771
394,56880.0,2016-08-22 00:00:00+00:00,0.0,968025.38673654
395,57024.0,2016-08-22 00:00:00+00:00,29.0,912604.41717547
396,57168.0,2016-08-23 00:00:00+00:00,0.0,775450.95597788
